Código,Nome,Repac./ Venc.,Índice/ Correção,Taxa de Compra,Taxa de Venda,Taxa Indicativa,Desvio Padrão,Intervalo Indicativo Min.,Intervalo Indicativo Máx.,PU,% Pu Par,Duration,% Reune,Referência NTN-B
CAEC12,COMPANHIA DE AGUA E ESGOTO DO CEARA - CAGECE (*),15/06/2036,"IPCA + 8,1891%",8.1696,7.2916,7.9564,0.0911,7.8652,8.0476,1040.882139,101.5677,1824.39,,15/05/2035
CAEC21,COMPANHIA DE AGUA E ESGOTO DO CEARA - CAGECE (*),15/03/2029,"IPCA + 5,4058%",7.7012,7.4336,7.5463,0.214,7.3324,7.7604,1164.483236,94.2531,739.34,0.05,15/05/2027
CAJS11,CONCESSIONARIA AGUAS DE JUTURNAIBA S/A,15/11/2040,"IPCA + 5,4%",7.2897,6.8932,7.0439,0.2476,6.7962,7.2916,1102.475578,89.9577,1681.43,,15/05/2033
CAJS12,CONCESSIONARIA AGUAS DE JUTURNAIBA S/A (*),15/09/2037,"IPCA + 6,85%",7.0537,6.5789,6.813,0.1732,6.6398,6.9864,1057.937085,100.1791,1302.56,,15/08/2030
CART12,CONCESSIONÁRIA AUTO RAPOSO TAVARES S/A (*) (**),15/12/2024,"IPCA + 5,8%",6.2564,5.775,5.9219,0.2463,5.6756,6.1683,612.265839,99.9753,54,,
CART13,CONCESSIONÁRIA AUTO RAPOSO TAVARES S/A (*),15/12/2035,"IPCA + 6,8138%",7.0506,6.7093,6.8286,0.0876,6.741,6.9163,11748.007684,99.93,1273.25,0.05,15/08/2030
CART22,CONCESSIONÁRIA AUTO RAPOSO TAVARES S/A (*) (**),15/12/2024,"IPCA + 6,05%",--,--,7.646,1.055,6.5911,8.7011,611.592988,99.6804,54,,
CASN23,COMPANHIA CATARINENSE DE AGUAS E SANEAMENTO - CASAN (*),16/11/2033,"IPCA + 10,3294%",9.9613,8.827,9.3781,0.6882,8.6899,10.0664,1114.058899,103.5073,1009.61,0.05,15/05/2029
CBAN12,CONCESSIONÁRIA ROTA DAS BANDEIRAS S/A,15/07/2034,IPCA + 5%,7.1417,6.6756,6.9121,0.0612,6.8509,6.9734,1334.636295,90.4554,1385.82,,15/08/2030
CBAN32,CONCESSIONÁRIA ROTA DAS BANDEIRAS S/A,15/07/2034,"IPCA + 5,2%",7.1473,6.7684,6.8135,0.2712,6.5423,7.0848,1362.27883,91.9247,1381.36,0.1,15/08/2030
