Código,Nome,Repac./ Venc.,Índice/ Correção,Taxa de Compra,Taxa de Venda,Taxa Indicativa,Desvio Padrão,Intervalo Indicativo Min.,Intervalo Indicativo Máx.,PU,% Pu Par,Duration,% Reune,Referência NTN-B,sheet_name,data
BRMLA0,BR MALLS PARTICIPAÇÕES S/A (*) (**),14/11/2027,"DI + 1,3%",0.8654,0.3465,0.6333,0.2215,0.4118,0.8549,1059.259791,101.4565,552.48,,,DI_SPREAD,20240927
BRMLA1,BR MALLS PARTICIPAÇÕES S/A (*),20/08/2031,"DI + 0,63%",0.901,0.5912,0.7055,0.0125,0.693,0.7181,1005.88508,99.6634,1132.55,,,DI_SPREAD,20240927
BRMLB1,BR MALLS PARTICIPAÇÕES S/A (*),20/08/2034,"DI + 0,95%",1.0118,0.7785,0.8808,0.0227,0.8581,0.9037,1013.340576,100.3742,1373.58,,,DI_SPREAD,20240927
BSA312,"B3 S/A - BRASIL, BOLSA, BALCÃO (*) (**)",05/05/2025,"DI + 1,05%",--,--,0.7498,0.1271,0.6227,0.8769,10480.067679,100.1658,140.33,,,DI_SPREAD,20240927
BSA317,"B3 S/A - BRASIL, BOLSA, BALCÃO (*)",11/10/2028,"DI + 1,05%",0.6206,0.3742,0.5049,0.0476,0.4572,0.5526,1069.186807,101.5133,700.73,,,DI_SPREAD,20240927
BSA318,"B3 S/A - BRASIL, BOLSA, BALCÃO (*)",28/05/2029,"DI + 0,62%",0.65,0.4637,0.5548,0.0088,0.546,0.5637,1038.962538,100.1878,729.76,0.1,,DI_SPREAD,20240927
BTCL11,BRAZIL TOWER CESSAO DE INFRA-ESTRUTURAS S.A. (*) (**),30/12/2028,"DI + 4,5%",3.55,3.05,3.3008,0.002,3.2988,3.3029,1067.280966,102.9171,630.5,,,DI_SPREAD,20240927
BTEL12,BRASIL TELECOM COMUNICACAO MULTIMIDIA S.A. (*) (**),15/06/2025,"DI + 3,5%",3.7151,3.2033,3.4601,0.0381,3.4221,3.4983,1040.257497,100.0258,168.82,0.05,,DI_SPREAD,20240927
BVPL11,BORRACHAS VIPAL S.A. (*),16/09/2028,"DI + 4,5%",3.5,3,3.2777,0.0778,3.1999,3.3555,965.441093,102.0503,436.51,,,DI_SPREAD,20240927
CAEC11,COMPANHIA DE AGUA E ESGOTO DO CEARA - CAGECE (*) (**),15/03/2026,"DI + 2,1%",1.4655,1.2,1.3281,0.0256,1.3025,1.3538,758.500598,100.6965,230.62,,,DI_SPREAD,20240927
CAEC22,COMPANHIA DE AGUA E ESGOTO DO CEARA - CAGECE (*),15/06/2029,"DI + 2,2%",2,1.7,1.9123,0.1218,1.7905,2.0342,1037.59787,100.8632,768.92,,,DI_SPREAD,20240927
CAEC32,COMPANHIA DE AGUA E ESGOTO DO CEARA - CAGECE (*),15/06/2031,"DI + 2,5%",2.2566,1.917,2.1342,0.1741,1.9601,2.3084,1044.39367,101.4541,1019.56,,,DI_SPREAD,20240927
CAML19,CAMIL ALIMENTOS S/A,30/09/2025,"DI + 2,7%",0.9161,0.5384,0.7036,0.1903,0.5133,0.8941,1075.278504,100.9034,116.04,,,DI_SPREAD,20240927
CAMLA1,CAMIL ALIMENTOS S/A,30/10/2028,"DI + 1,55%",--,--,1.0566,0.0408,1.0158,1.0975,1063.789648,101.3736,706.75,,,DI_SPREAD,20240927
CAMLB1,CAMIL ALIMENTOS S/A,30/10/2028,"DI + 1,55%",1.3413,0.9942,1.1491,0.0289,1.1202,1.1782,1061.064194,101.1138,706.4,,,DI_SPREAD,20240927
CASN12,COMPANHIA CATARINENSE DE AGUAS E SANEAMENTO - CASAN (*) (**),14/09/2026,"DI + 5,75%",1.5397,0.801,1.2217,0.2231,0.9985,1.4449,5844.321225,103.9998,227.59,,,DI_SPREAD,20240927
CASN13,COMPANHIA CATARINENSE DE AGUAS E SANEAMENTO - CASAN (*),16/11/2028,"DI + 5,5%",3.121,2.3605,2.7858,0.3049,2.4809,3.0908,1061.803099,105.598,530.26,,,DI_SPREAD,20240927
CBAN22,CONCESSIONÁRIA ROTA DAS BANDEIRAS S/A (*) (**),15/07/2027,DI + 2%,0.8599,0.6485,0.7676,0.1578,0.6098,0.9254,1045.312654,101.7524,361.23,,,DI_SPREAD,20240927
CBRDA8,COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO (*) (**),10/05/2026,"DI + 1,7%",4.8612,4.4785,4.6953,0.1105,4.5848,4.8059,1016.736182,97.1467,250.32,0.15,,DI_SPREAD,20240927
CBRDB8,COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO (*),10/05/2028,"DI + 1,95%",4.9555,3.615,4.3135,0.201,4.1125,4.5145,989.920362,94.4933,619.6,,,DI_SPREAD,20240927
CCROA7,CCR S/A (*),12/07/2029,"DI + 0,75%",0.8168,0.6057,0.7214,0.0334,0.6879,0.7549,1023.562144,100.0855,758.5,0.05,,DI_SPREAD,20240927
CDAR11,UNIDAS LOCADORA S.A. (*) (**),27/09/2027,DI + 2%,2.5148,2.0464,2.3447,0.1332,2.2116,2.478,992.713346,99.2713,546.04,,,DI_SPREAD,20240927
CEAB11,C E A MODAS S.A.,20/05/2025,"DI + 2,15%",0.8,0.3619,0.6121,0.1462,0.4658,0.7584,527.472862,100.9112,150.71,0.05,,DI_SPREAD,20240927
CEAB12,C E A MODAS S.A.,13/11/2025,"DI + 2,1%",1.6654,1.3325,1.5349,0.0547,1.4802,1.5896,1053.761092,100.5769,261.24,,,DI_SPREAD,20240927
CEAB13,C E A MODAS S.A. (*),15/07/2027,"DI + 1,8%",1.8951,1.6,1.7485,0.0376,1.7109,1.7861,1020.451351,100.1192,593.21,,,DI_SPREAD,20240927
CEAB22,C E A MODAS S.A.,13/05/2028,"DI + 2,4%",--,--,1.8295,0.0828,1.7467,1.9125,1059.172162,100.9781,439.91,,,DI_SPREAD,20240927
